dataset,delta_evidence_recall,example_id,m,mean_selected,method,method_selected,seed,selection_changed,split
synthetic_qk,0.0,qk-64-0,4,1 0 14 8,last,1 14 0 5,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,4,1 0 14 8,farthest,1 11 14 0,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,4,1 0 14 8,greedy_oracle,0 1 3 8,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,4,1 0 14 8,random,1 14 13 0,11,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,4,1 0 14 8,random,1 14 7 8,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,4,1 0 14 8,random,1 5 11 2,37,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,4,1 0 14 8,random,1 6 14 13,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,4,1 0 14 8,random,1 11 6 3,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,8,1 0 14 8,last,1 6 14 10,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,8,1 0 14 8,farthest,1 15 6 7,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,8,1 0 14 8,greedy_oracle,0 1 8 3,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,8,1 0 14 8,random,1 14 3 2,11,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,8,1 0 14 8,random,1 14 8 15,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,8,1 0 14 8,random,1 8 6 7,37,1.0,synthetic
synthetic_qk,0.0,qk-64-0,8,1 0 14 8,random,1 0 8 10,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,8,1 0 14 8,random,1 6 11 10,71,1.0,synthetic
synthetic_qk,0.0,qk-64-1,1,2 1 0 4,last,2 8 1 12,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,1,2 1 0 4,farthest,1 2 5 0,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,1,2 1 0 4,greedy_oracle,1 2 0 4,0,0.0,synthetic
synthetic_qk,0.0,qk-64-1,1,2 1 0 4,random,2 7 0 1,11,1.0,synthetic
synthetic_qk,0.0,qk-64-1,1,2 1 0 4,random,10 1 4 12,23,1.0,synthetic
synthetic_qk,0.0,qk-64-1,1,2 1 0 4,random,0 4 3 1,37,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,1,2 1 0 4,random,2 15 6 3,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,1,2 1 0 4,random,2 6 13 12,71,1.0,synthetic
synthetic_qk,0.0,qk-64-1,2,2 1 0 4,last,2 12 10 1,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,2,2 1 0 4,farthest,1 2 5 3,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,2,2 1 0 4,greedy_oracle,1 2 0 4,0,0.0,synthetic
synthetic_qk,-1.0,qk-64-1,2,2 1 0 4,random,9 2 7 5,11,1.0,synthetic
synthetic_qk,0.0,qk-64-1,2,2 1 0 4,random,1 2 12 5,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,2,2 1 0 4,random,0 2 11 5,37,1.0,synthetic
synthetic_qk,0.0,qk-64-1,2,2 1 0 4,random,2 1 6 8,53,1.0,synthetic
synthetic_qk,0.0,qk-64-1,2,2 1 0 4,random,2 6 1 0,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,4,2 1 0 4,last,2 10 0 12,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,4,2 1 0 4,farthest,1 2 0 5,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,4,2 1 0 4,greedy_oracle,1 2 0 6,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,4,2 1 0 4,random,2 5 0 10,11,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,4,2 1 0 4,random,2 12 5 0,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,4,2 1 0 4,random,2 0 12 4,37,1.0,synthetic
synthetic_qk,0.0,qk-64-1,4,2 1 0 4,random,2 1 8 12,53,1.0,synthetic
synthetic_qk,0.0,qk-64-1,4,2 1 0 4,random,2 0 15 1,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-1,8,2 1 0 4,last,2 13 4 6,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,farthest,1 2 13 11,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,greedy_oracle,1 2 11 13,0,1.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,random,1 2 4 10,11,1.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,random,2 1 5 11,23,1.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,random,2 1 4 0,37,0.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,random,2 9 1 10,53,1.0,synthetic
synthetic_qk,0.0,qk-64-1,8,2 1 0 4,random,2 5 15 1,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,1,3 2 9 10,last,0 3 4 11,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,1,3 2 9 10,farthest,3 2 9 14,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,1,3 2 9 10,greedy_oracle,2 3 0 13,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,1,3 2 9 10,random,3 8 9 12,11,1.0,synthetic
synthetic_qk,0.0,qk-64-2,1,3 2 9 10,random,3 2 4 5,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,1,3 2 9 10,random,3 10 0 12,37,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,1,3 2 9 10,random,3 6 8 12,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,1,3 2 9 10,random,3 12 15 6,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,2,3 2 9 10,last,3 9 0 10,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,2,3 2 9 10,farthest,3 2 9 11,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,2,3 2 9 10,greedy_oracle,2 3 0 10,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,2,3 2 9 10,random,3 9 12 6,11,1.0,synthetic
synthetic_qk,0.0,qk-64-2,2,3 2 9 10,random,3 2 9 4,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,2,3 2 9 10,random,3 10 7 5,37,1.0,synthetic
synthetic_qk,0.0,qk-64-2,2,3 2 9 10,random,3 2 9 12,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,2,3 2 9 10,random,3 9 10 12,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,4,3 2 9 10,last,3 11 9 0,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,4,3 2 9 10,farthest,3 9 2 12,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,4,3 2 9 10,greedy_oracle,2 3 10 12,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,4,3 2 9 10,random,3 9 12 6,11,1.0,synthetic
synthetic_qk,0.0,qk-64-2,4,3 2 9 10,random,3 2 9 10,23,0.0,synthetic
synthetic_qk,-1.0,qk-64-2,4,3 2 9 10,random,3 7 15 10,37,1.0,synthetic
synthetic_qk,0.0,qk-64-2,4,3 2 9 10,random,3 2 9 4,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,4,3 2 9 10,random,3 14 9 8,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,8,3 2 9 10,last,3 14 9 11,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,8,3 2 9 10,farthest,3 2 8 6,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,8,3 2 9 10,greedy_oracle,2 3 12 0,0,1.0,synthetic
synthetic_qk,0.0,qk-64-2,8,3 2 9 10,random,3 9 14 2,11,1.0,synthetic
synthetic_qk,0.0,qk-64-2,8,3 2 9 10,random,2 3 0 9,23,1.0,synthetic
synthetic_qk,0.0,qk-64-2,8,3 2 9 10,random,3 2 15 7,37,1.0,synthetic
synthetic_qk,0.0,qk-64-2,8,3 2 9 10,random,3 7 2 4,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-2,8,3 2 9 10,random,3 14 12 9,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,1,4 3 2 9,last,4 12 2 5,0,1.0,synthetic
synthetic_qk,0.0,qk-64-3,1,4 3 2 9,farthest,4 2 15 3,0,1.0,synthetic
synthetic_qk,0.0,qk-64-3,1,4 3 2 9,greedy_oracle,3 4 1 2,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,1,4 3 2 9,random,4 7 13 9,11,1.0,synthetic
synthetic_qk,0.0,qk-64-3,1,4 3 2 9,random,4 15 7 3,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,1,4 3 2 9,random,4 8 10 2,37,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,1,4 3 2 9,random,4 14 2 1,53,1.0,synthetic
synthetic_qk,0.0,qk-64-3,1,4 3 2 9,random,3 2 8 13,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,2,4 3 2 9,last,4 2 12 5,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,2,4 3 2 9,farthest,4 2 15 5,0,1.0,synthetic
synthetic_qk,0.0,qk-64-3,2,4 3 2 9,greedy_oracle,3 4 1 2,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-3,2,4 3 2 9,random,4 13 5 9,11,1.0,synthetic
synthetic_qk,0.0,qk-64-3,2,4 3 2 9,random,4 7 11 3,23,1.0,synthetic
