ci95_high,ci95_low,dataset,losses,m,mean_delta,method,metric,pairs,ties,wins
0.07909455128205127,-0.0008333333333333334,qasper,1,2,0.03262019230769231,farthest,evidence_recall,16,12,3
0.375,0.0,qasper,0,2,0.1875,farthest,chain_completion,16,13,3
0.0,-0.1875,qasper,7,2,-0.09375,farthest,teacher_top4_overlap,16,7,2
0.008782051282051282,-0.20138278388278386,qasper,3,4,-0.06745421245421246,farthest,evidence_recall,16,12,1
0.125,-0.25,qasper,2,4,-0.0625,farthest,chain_completion,16,13,1
0.015625,-0.203125,qasper,5,4,-0.09375,farthest,teacher_top4_overlap,16,9,2
0.014791666666666667,-0.19809523809523807,qasper,3,8,-0.06444940476190476,farthest,evidence_recall,16,12,1
0.125,-0.25,qasper,2,8,-0.0625,farthest,chain_completion,16,13,1
0.140625,-0.125,qasper,5,8,0.0,farthest,teacher_top4_overlap,16,7,4
0.06071428571428571,-0.19598214285714283,qasper,4,1,-0.04608516483516484,greedy_oracle,evidence_recall,16,6,6
0.5,-0.25,qasper,4,1,0.125,greedy_oracle,chain_completion,16,6,6
-0.203125,-0.453125,qasper,12,1,-0.328125,greedy_oracle,teacher_top4_overlap,16,4,0
0.0447172619047619,-0.1875,qasper,2,2,-0.04422504578754579,greedy_oracle,evidence_recall,16,10,4
0.4375,-0.1875,qasper,2,2,0.125,greedy_oracle,chain_completion,16,10,4
0.171875,0.0,qasper,1,2,0.078125,greedy_oracle,teacher_top4_overlap,16,10,5
0.22328869047619052,-0.014165521978021976,qasper,2,4,0.08017971611721612,greedy_oracle,evidence_recall,16,9,5
0.5,-0.125,qasper,2,4,0.1875,greedy_oracle,chain_completion,16,9,5
0.328125,0.0625,qasper,1,4,0.1875,greedy_oracle,teacher_top4_overlap,16,8,7
0.22023809523809523,-0.1434065934065934,qasper,3,8,0.03799221611721612,greedy_oracle,evidence_recall,16,6,7
0.625,-0.125,qasper,3,8,0.25,greedy_oracle,chain_completion,16,6,7
0.421875,0.171875,qasper,1,8,0.296875,greedy_oracle,teacher_top4_overlap,16,3,12
0.06297733516483517,-0.18910599816849816,qasper,4,1,-0.04074290293040293,last,evidence_recall,16,6,6
0.4375,-0.1875,qasper,3,1,0.125,last,chain_completion,16,8,5
-0.3125,-0.53125,qasper,15,1,-0.421875,last,teacher_top4_overlap,16,1,0
0.07283081501831501,-0.1953125,qasper,3,2,-0.03685897435897437,last,evidence_recall,16,8,5
0.4375,-0.1875,qasper,3,2,0.125,last,chain_completion,16,8,5
-0.296875,-0.515625,qasper,15,2,-0.40625,last,teacher_top4_overlap,16,1,0
0.020135073260073258,-0.21569940476190474,qasper,4,4,-0.07473099816849817,last,evidence_recall,16,8,4
0.375,-0.3125,qasper,4,4,0.0,last,chain_completion,16,8,4
-0.234375,-0.421875,qasper,14,4,-0.328125,last,teacher_top4_overlap,16,2,0
0.04797619047619047,-0.21428571428571427,qasper,5,8,-0.06400297619047618,last,evidence_recall,16,8,3
0.25,-0.375,qasper,4,8,-0.0625,last,chain_completion,16,9,3
-0.234375,-0.421875,qasper,14,8,-0.328125,last,teacher_top4_overlap,16,2,0
0.05326121794871795,-0.18904647435897434,qasper,4,1,-0.044403617216117214,learned,evidence_recall,16,8,4
0.375,-0.375,qasper,4,1,0.0,learned,chain_completion,16,8,4
-0.078125,-0.265625,qasper,10,1,-0.171875,learned,teacher_top4_overlap,16,5,1
0.07967261904761906,-0.16647321428571427,qasper,3,2,-0.01638392857142856,learned,evidence_recall,16,6,7
0.55,-0.012499999999999983,qasper,2,2,0.275,learned,chain_completion,16,7,7
-0.03125,-0.24375000000000002,qasper,10,2,-0.140625,learned,teacher_top4_overlap,16,4,2
0.07976190476190476,-0.16385714285714287,qasper,4,4,-0.014377976190476201,learned,evidence_recall,16,5,7
0.5625,-0.012499999999999983,qasper,3,4,0.28750000000000003,learned,chain_completion,16,6,7
0.025,-0.20625000000000002,qasper,7,4,-0.09375,learned,teacher_top4_overlap,16,7,2
0.16696428571428573,-0.05894574175824176,qasper,4,8,0.04128891941391941,learned,evidence_recall,16,6,6
0.44999999999999996,-0.1,qasper,3,8,0.17500000000000002,learned,chain_completion,16,7,6
0.15625,-0.08125000000000002,qasper,5,8,0.03749999999999999,learned,teacher_top4_overlap,16,2,9
0.03234432234432235,-0.15551648351648353,qasper,5,1,-0.0416868131868132,random,evidence_recall,16,4,7
0.275,-0.2125,qasper,5,1,0.03749999999999999,random,chain_completion,16,4,7
-0.25625,-0.43125,qasper,15,1,-0.346875,random,teacher_top4_overlap,16,1,0
0.02168498168498168,-0.17231822344322345,qasper,5,2,-0.055002747252747244,random,evidence_recall,16,3,8
0.18749999999999997,-0.2875,qasper,5,2,-0.049999999999999996,random,chain_completion,16,3,8
-0.284375,-0.425,qasper,16,2,-0.35625000000000007,random,teacher_top4_overlap,16,0,0
0.047625915750915744,-0.1492754120879121,qasper,4,4,-0.030559065934065942,random,evidence_recall,16,3,9
0.225,-0.23750000000000002,qasper,5,4,-2.0816681711721685e-17,random,chain_completion,16,2,9
-0.18124999999999994,-0.328125,qasper,14,4,-0.25625,random,teacher_top4_overlap,16,2,0
0.018526785714285714,-0.12865178571428573,qasper,5,8,-0.04138347069597068,random,evidence_recall,16,3,8
0.1875,-0.25,qasper,5,8,-0.024999999999999977,random,chain_completion,16,3,8
-0.140625,-0.3031249999999999,qasper,14,8,-0.22187500000000004,random,teacher_top4_overlap,16,1,1
