active_memory_fraction,any_evidence,chain_completion,compression_ms,dataset,evidence_normalized_overhead,evidence_precision,evidence_recall,exact_identity,identities,kendall,kl,m,mae,materialized_kv_tokens,method,mrr,native_dots,rmse,rows,spearman,split,teacher_top1_overlap,teacher_top2_overlap,teacher_top4_overlap,teacher_top8_overlap
0.08933341034341388,0.375,0.0,37.59594997973181,hotpotqa,0.9191825059162935,0.09375,0.09895833333333333,0.0,16,0.4617348464203223,0.04425892629660666,8,0.9877413921058178,128.0,farthest,0.265625,6416.0,1.0346309468150139,16,0.6266491673886776,test,0.375,0.5,0.765625,0.8046875
0.08933341034341388,0.5,0.0,0.05091249477118254,hotpotqa,0.9191825059162935,0.125,0.12395833333333332,0.0,16,1.0,0.0,0,0.0,128.0,full_k,0.2864583333333333,25415.375,0.0,16,0.9999999739229679,test,1.0,1.0,1.0,1.0
0.08933341034341388,0.375,0.125,35.47492501093075,hotpotqa,0.9191825059162935,0.125,0.10848214285714285,0.0,16,0.43034528992643195,0.10989064630120993,1,0.3152060154825449,128.0,greedy_oracle,0.28645833333333337,802.0,0.45842307433485985,16,0.5793864391744137,test,0.0625,0.09375,0.09375,0.2890625
0.08933341034341388,0.5625,0.0,35.63656251935754,hotpotqa,0.9191825059162935,0.140625,0.13124999999999998,0.0,16,0.7004218976206976,0.08078236854635179,2,0.30094838608056307,128.0,greedy_oracle,0.203125,1604.0,0.345344265922904,16,0.8596159256994724,test,0.375,0.5625,0.859375,0.84375
0.08933341034341388,0.625,0.0625,37.15573746012524,hotpotqa,0.9191825059162935,0.15625,0.14538690476190477,0.0,16,0.7814184226961499,0.0036623854393837973,4,0.4127667788416147,128.0,greedy_oracle,0.26041666666666663,3208.0,0.4221826605498791,16,0.9167281091213226,test,0.625,0.625,0.921875,0.890625
0.08933341034341388,0.5,0.0,37.18662497703917,hotpotqa,0.9191825059162935,0.125,0.12395833333333332,0.0,16,0.8909710727603237,0.0009234156459569931,8,0.12621567025780678,128.0,greedy_oracle,0.328125,6416.0,0.13374168518930674,16,0.9749985001981258,test,0.9375,0.78125,0.984375,0.9375
0.08933341034341388,0.25,0.0625,35.5486437183572,hotpotqa,0.9191825059162935,0.078125,0.07142857142857142,0.0,16,0.15452192624267452,0.32048588432371616,1,1.6215655580163002,128.0,last,0.13541666666666666,802.0,1.8094424828886986,16,0.22051242319867015,test,0.125,0.1875,0.203125,0.2421875
0.08933341034341388,0.3125,0.125,34.37706874683499,hotpotqa,0.9191825059162935,0.109375,0.10267857142857142,0.0,16,0.16873503306947618,0.24350724462419748,2,1.601997122168541,128.0,last,0.10416666666666666,1604.0,1.7437549531459808,16,0.24177300976589322,test,0.0625,0.15625,0.109375,0.21875
0.08933341034341388,0.3125,0.125,35.22867498395499,hotpotqa,0.9191825059162935,0.15625,0.1144345238095238,0.0,16,0.23129708819042755,0.16881505073979497,4,1.5965113565325737,128.0,last,0.21875,3208.0,1.690554827451706,16,0.3329137321561575,test,0.0625,0.15625,0.21875,0.3359375
0.08933341034341388,0.5625,0.1875,38.62626870977692,hotpotqa,0.9191825059162935,0.203125,0.17842261904761902,0.0,16,0.37099439497545256,0.10829584789462388,8,0.8825703598558903,128.0,last,0.27604166666666663,6416.0,0.9732701815664768,16,0.5218713413923979,test,0.125,0.21875,0.21875,0.359375
