model_id,context_target_tokens,condition,samples,datasets,token_f1,gold_answer_logprob,completion_latency_ms,first_token_agreement_vs_full,sequence_agreement_vs_full,first_logit_rmse_vs_full,active_detail_bytes,visible_prompt_tokens,peak_unified_memory_bytes
mlx-community/Qwen3-14B-4bit,8192,E0_SELECTED,15,3,0.3533906833906834,-9.97838643391927,644.6186166654419,0.6,0.3333333333333333,1.433041516939799,0.0,315.53333333333336,8737388764
mlx-community/Qwen3-14B-4bit,8192,E2_QUERY_RESTART,15,3,0.0,-59.94109954833984,1137.0684165332932,0.0,0.0,4.785977872212728,1342177280.0,34.266666666666666,13582939478
mlx-community/Qwen3-14B-4bit,8192,E2_SELECTED,15,3,0.3533906833906834,-9.984073638916016,678.4645860646075,0.6666666666666666,0.3333333333333333,1.4320116599400838,46082730.666666664,34.266666666666666,8753424097
mlx-community/Qwen3-14B-4bit,8192,E2_SOURCE_RELATIVE,15,3,0.21584859584859586,-11.485882314046224,1141.4538055988185,0.9333333333333333,0.9333333333333333,0.0996830811103185,1342177280.0,34.266666666666666,13582402751
mlx-community/Qwen3-14B-4bit,8192,FULL_VISIBLE,15,3,0.21685869685869685,-11.463110478719075,818.3547528014363,1.0,1.0,0.0,0.0,8226.266666666666,14012316128
mlx-community/Qwen3-32B-4bit,384,E0_SELECTED,15,3,0.23609427609427608,-9.579463958740234,1481.079436133344,0.8666666666666667,0.4,1.5138076225916544,0.0,315.53333333333336,19040659640
mlx-community/Qwen3-32B-4bit,384,E2_QUERY_RESTART,15,3,0.26733007733007735,-11.63140697479248,1552.99848333525,0.26666666666666666,0.0,4.7732791344324745,100663296.0,34.266666666666666,19407884018
mlx-community/Qwen3-32B-4bit,384,E2_SELECTED,15,3,0.2533333333333333,-9.549921035766602,1539.0990360649691,0.8666666666666667,0.5333333333333333,1.5398073966304462,73732369.06666666,34.266666666666666,19070457201
mlx-community/Qwen3-32B-4bit,384,E2_SOURCE_RELATIVE,15,3,0.23542087542087542,-9.453915659586588,1554.408433200054,1.0,1.0,0.11523318365216255,100663296.0,34.266666666666666,19407246705
mlx-community/Qwen3-32B-4bit,384,FULL_VISIBLE,15,3,0.23542087542087542,-9.493210856119791,1491.2828054017154,1.0,1.0,0.0,0.0,418.26666666666665,19377547448
mlx-community/Qwen3-32B-4bit,8192,E0_SELECTED,15,3,0.23609427609427608,-9.579463958740234,1481.079436133344,0.26666666666666666,0.0,4.514288345972697,0.0,315.53333333333336,19040659640
mlx-community/Qwen3-32B-4bit,8192,E2_QUERY_RESTART,15,3,0.0,-79.11479587554932,2567.8628695333223,0.0,0.0,3.6711385885874432,2147483648.0,34.266666666666666,26305129641
mlx-community/Qwen3-32B-4bit,8192,E2_SELECTED,15,3,0.2533333333333333,-9.549921035766602,1539.0990360649691,0.26666666666666666,0.0,4.492211023966472,73732369.06666666,34.266666666666666,19070457201
mlx-community/Qwen3-32B-4bit,8192,E2_SOURCE_RELATIVE,15,3,0.11304917304917304,-10.591732470194499,2583.007097132698,0.8,0.6666666666666666,0.12138440062602361,2147483648.0,34.266666666666666,26304463509
mlx-community/Qwen3-32B-4bit,8192,FULL_VISIBLE,15,3,0.16257298257298256,-10.57807642618815,1857.1548971308705,1.0,1.0,0.0,0.0,8226.266666666666,27508287956
