model,base_model,model_revision,size,family,tier,priority,precision_family,precision_encoding,engine,mode,profile,qualification,datasets,bundle,artifact,condition_no_pra,condition_pra_no_adaptor,condition_pra_adaptor_bundle,token_f1_no_pra,token_f1_pra_no_adaptor,token_f1_pra_adaptor_bundle,token_f1_delta_pra_no_adaptor,token_f1_incremental_adaptor_gain,visible_tokens_no_pra,visible_tokens_pra_no_adaptor,ttft_p95_ms_no_pra,ttft_p95_ms_pra_no_adaptor,output_tokens_per_second_no_pra,output_tokens_per_second_pra_no_adaptor,peak_memory_bytes_no_pra,peak_memory_bytes_pra_no_adaptor,exact_pairs,paired_examples,memory_gate,feature_extraction_precision,adaptor_parameter_precision
Qwen/Qwen3-4B,Qwen/Qwen3-4B,,4B,qwen3,B,P1_FLAGSHIP_PRECISION,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-4B,Qwen/Qwen3-4B,,4B,qwen3,B,P1_FLAGSHIP_PRECISION,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/Qwen3-4B-4bit,Qwen/Qwen3-4B,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4B,qwen3,MEASURED_VARIANT,P1_FLAGSHIP_PRECISION,INT4,MLX-4bit,mlx,Selected Context,BALANCED,CONTROLLED,"['qasper', 'hotpotqa', 'multihop-rag']",EInnovator/pra-qwen3-4b-mlx-4bit,docs/papers/shared/results/paper4_5_runtime/hf_catalog_adapters/qwen3-4b/comparison.json,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/Qwen3-4B-8bit,Qwen/Qwen3-4B,0348ad770d2ae658ca47b0579b2d2c37b20bbcac,4B,qwen3,MEASURED_VARIANT,P1_FLAGSHIP_PRECISION,INT8,MLX-8bit,mlx,Native Memory,BALANCED,ENGINE_QUALIFIED,"['qasper', 'hotpotqa', '2wikimultihopqa']",EInnovator/pra-qwen3-4b-mlx-8bit,docs/papers/shared/results/paper4_5_runtime/exact_identity_qualification/qwen3-4b-mlx-8bit/qualification_summary.json,MEASURED,MEASURED,NEEDS_RUN,0.13151746600965877,0.13151746600965877,,0.0,,396.31666666666666,33.516666666666666,130.11420803377405,115.36520899971947,43.666027593206536,42.83742792599459,,,60,60,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/Llama-3.2-1B-Instruct-8bit,meta-llama/Llama-3.2-1B-Instruct,d48cdf0a4ea22d893b7c63a99d6a693e24822795,1B,llama3,MEASURED_VARIANT,P2_CROSS_FAMILY,INT8,MLX-8bit,mlx,Native Memory,BALANCED,ENGINE_QUALIFIED,"['qasper', 'hotpotqa', '2wikimultihopqa']",EInnovator/pra-llama3-2-1b-mlx-8bit,docs/papers/shared/results/paper4_5_runtime/exact_identity_qualification/llama3.2-1b-mlx-8bit/qualification_summary.json,MEASURED,MEASURED,NO_QUALIFIED_ADAPTER,0.12535658417725318,0.12535658417725318,,0.0,,390.8666666666667,33.25,36.07599996030331,31.44820802845061,138.46954960785288,138.86414795282008,,,60,60,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,3B,llama3,B,P2_CROSS_FAMILY,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,3B,llama3,B,P2_CROSS_FAMILY,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,3B,llama3,B,P2_CROSS_FAMILY,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,3B,llama3,B,P2_CROSS_FAMILY,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,,3B,smollm3,B,P3_LONG_CONTEXT,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,,3B,smollm3,B,P3_LONG_CONTEXT,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,,3B,smollm3,B,P3_LONG_CONTEXT,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,,3B,smollm3,B,P3_LONG_CONTEXT,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/gemma-3-1b-it-4bit,google/gemma-3-1b-it,2d44e83dc9e80843d22fb941d3d699a0b1351aa6,1B,gemma3,MEASURED_VARIANT,P3_TOPOLOGY,INT4,MLX-4bit,mlx,Selected Context,BALANCED,CONTROLLED,"['qasper', 'hotpotqa']",EInnovator/pra-gemma3-1b-mlx-4bit,docs/papers/shared/results/paper4_5_runtime/hf_catalog_adapters/gemma3-1b/comparison.json,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/gemma-3-1b-it-8bit,google/gemma-3-1b-it,7b963136f21d05ca8b367c93a9c47a7944ad281a,1B,gemma3,MEASURED_VARIANT,P3_TOPOLOGY,INT8,MLX-8bit,mlx,Selected Context,BALANCED,CONTROLLED,"['qasper', 'hotpotqa', '2wikimultihopqa']",EInnovator/pra-gemma3-1b-mlx-8bit,docs/papers/shared/results/paper4_5_runtime/exact_identity_qualification/gemma3-1b-mlx-8bit/qualification_summary.json,MEASURED,MEASURED,NO_QUALIFIED_ADAPTER,0.07351739524441099,0.06990959645216611,,-0.003607798792244876,,395.31666666666666,35.166666666666664,39.12529203807935,46.673082979395986,141.26885467765007,133.393875526588,,,3,60,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-4b-it,google/gemma-3-4b-it,,4B,gemma3,B,P3_TOPOLOGY,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-4b-it,google/gemma-3-4b-it,,4B,gemma3,B,P3_TOPOLOGY,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-4b-it,google/gemma-3-4b-it,,4B,gemma3,B,P3_TOPOLOGY,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-4b-it,google/gemma-3-4b-it,,4B,gemma3,B,P3_TOPOLOGY,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,,3B,qwen2.5-coder,B,P4_CODING,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,,3B,qwen2.5-coder,B,P4_CODING,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,,3B,qwen2.5-coder,B,P4_CODING,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,,3B,qwen2.5-coder,B,P4_CODING,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,,3B,qwen2.5,B,P4_INSTRUCT,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,,3B,qwen2.5,B,P4_INSTRUCT,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,,3B,qwen2.5,B,P4_INSTRUCT,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,,3B,qwen2.5,B,P4_INSTRUCT,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-8B,Qwen/Qwen3-8B,,8B,qwen3,C,P5_SCALE,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-8B,Qwen/Qwen3-8B,,8B,qwen3,C,P5_SCALE,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-8B,Qwen/Qwen3-8B,,8B,qwen3,C,P5_SCALE,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-8B,Qwen/Qwen3-8B,,8B,qwen3,C,P5_SCALE,INT6,native-int6,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-8B,Qwen/Qwen3-8B,,8B,qwen3,C,P5_SCALE,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,,7B,mistral,C,P5_SCALE,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,,7B,mistral,C,P5_SCALE,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,,7B,mistral,C,P5_SCALE,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,,7B,mistral,C,P5_SCALE,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-12b-it,google/gemma-3-12b-it,,12B,gemma3,D,P6_LARGE_NON_QWEN,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-12b-it,google/gemma-3-12b-it,,12B,gemma3,D,P6_LARGE_NON_QWEN,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
google/gemma-3-12b-it,google/gemma-3-12b-it,,12B,gemma3,D,P6_LARGE_NON_QWEN,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,,30B-A3B,qwen3-coder,E,P7_CODING_LARGE,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,,30B-A3B,qwen3-coder,E,P7_CODING_LARGE,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-32B,Qwen/Qwen3-32B,,32B,qwen3,E,P7_QUANTIZED_LARGE,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-32B,Qwen/Qwen3-32B,,32B,qwen3,E,P7_QUANTIZED_LARGE,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
